WOW,buy,2011-08-09,500,24.3
CCL,buy,2012-01-31,625,8.15
CBA,buy,2012-11-25,812,60.25
WOW,sell,2012-11-29,335,30.63
TLS,buy,2013-06-20,5560,2.70
BHP,buy,2013-07-20,509,39.24
TLS,sell,2013-10-15,2080,2.79
NAB,buy,2013-11-24,766,18.00
SGP,buy,2014-02-11,4935,3.1
WOW,sell,2014-04-13,68,45.27
CCL,sell,2014-06-12,300,12.80
CBA,buy,2014-11-05,45,62.39
NAB,sell,2015-03-09,307,14.35
NAB,sell,2015-07-03,209,14.98
BHP,sell,2015-09-16,210,42.87
CCL,sell,2016-03-06,170,9.12
SGP,sell,2016-08-19,2614,3.46
WOW,sell,2017-01-26,97,32.78
XRO,buy,2017-05-31,99,80.14
CBA,sell,2017-06-12,53,67.73
TLS,sell,2017-07-19,1240,2.81
BHP,sell,2018-01-05,116,37.14
SGP,sell,2018-04-10,1547,3.74
XRO,buy,2018-12-12,99,95.46
APT,buy,2019-04-01,605,34.22
CBA,sell,2019-08-14,80,64.64
NAB,sell,2019-09-16,230,18.26
APT,sell,2020-02-12,247,57.49
